date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
31-12-2020,23320,23400,23005,23215,23035,80,210,0.013692675505324825,0.007968985569674736
01-01-2021,23320,23400,23005,23215,23035,80,210,0.013692675505324825,0.007968985569674736
02-01-2021,23320,23400,23005,23215,23035,80,210,0.013692675505324825,0.007968985569674736
03-01-2021,23320,23400,23005,23215,23035,80,210,0.013692675505324825,0.007968985569674736
04-01-2021,23320,23370,22980,23190,23010,50,210,0.014795474325500546,0.0077619663648125226
05-01-2021,23320,23370,22980,23190,23010,50,210,0.014795474325500546,0.0077619663648125226
06-01-2021,23320,23370,22980,23190,23010,50,210,0.014795474325500546,0.0077619663648125226
07-01-2021,23320,23370,22960,23170,22990,50,210,0.015679442508710784,0.008631851532153734
08-01-2021,23370,23420,22940,23150,22970,50,210,0.018744551002615628,0.011663066954643586
09-01-2021,23370,23400,22940,23150,22970,30,210,0.018744551002615628,0.010799136069114423
10-01-2021,23380,23430,22940,23150,22970,50,210,0.019180470793374038,0.012095032397408279
11-01-2021,23400,23450,22950,23160,22980,50,210,0.019607843137254832,0.012521588946459383
12-01-2021,23400,23430,22950,23160,22980,30,210,0.019607843137254832,0.011658031088082943
13-01-2021,23380,23410,22950,23160,22980,30,210,0.018736383442265803,0.01079447322970628
14-01-2021,23360,23400,22950,23160,22980,40,210,0.017864923747276773,0.010362694300518172
15-01-2021,23360,23400,22950,23160,22980,40,210,0.017864923747276773,0.010362694300518172
16-01-2021,23400,23430,22950,23160,22980,30,210,0.019607843137254832,0.011658031088082943
17-01-2021,23400,23430,22950,23160,22980,30,210,0.019607843137254832,0.011658031088082943
18-01-2021,23400,23430,22950,23160,22980,30,210,0.019607843137254832,0.011658031088082943
19-01-2021,23420,23470,22950,23160,22980,50,210,0.020479302832244084,0.013385146804835824
20-01-2021,23480,23520,22955,23165,22985,40,210,0.02287083424090608,0.015324843513921937
21-01-2021,23480,23520,22955,23165,22985,40,210,0.02287083424090608,0.015324843513921937
22-01-2021,23500,23530,22955,23165,22985,30,210,0.023742104116750262,0.01575652924670834
23-01-2021,23500,23530,22955,23165,22985,30,210,0.023742104116750262,0.01575652924670834
24-01-2021,23500,23530,22955,23165,22985,30,210,0.023742104116750262,0.01575652924670834
25-01-2021,23580,23630,22955,23165,22985,50,210,0.027227183620126327,0.020073386574573693
26-01-2021,23600,23650,22950,23160,22980,50,210,0.028322440087146017,0.021157167530224452
27-01-2021,23540,23590,22950,23160,22980,50,210,0.025708061002178706,0.01856649395509491
28-01-2021,23520,23560,22940,23150,22970,40,210,0.02528334786399311,0.017710583153347725
29-01-2021,23500,23540,22930,23140,22960,40,210,0.024858264282599185,0.01728608470181503
30-01-2021,23500,23550,22930,23140,22960,50,210,0.024858264282599185,0.017718236819360467
31-01-2021,23500,23550,22930,23140,22960,50,210,0.024858264282599185,0.017718236819360467
01-02-2021,23520,23570,22920,23130,22950,50,210,0.02617801047120416,0.019022913964548138
02-02-2021,23530,23580,22900,23110,22930,50,210,0.027510917030567628,0.020337516226741625
03-02-2021,23530,23580,22910,23120,22940,50,210,0.027062418158009693,0.019896193771626214
04-02-2021,23550,23600,22900,23110,22930,50,210,0.028384279475982543,0.021202942449156215
05-02-2021,23550,23600,22880,23090,22910,50,210,0.02928321678321688,0.022087483759203108
06-02-2021,23550,23600,22880,23090,22910,50,210,0.02928321678321688,0.022087483759203108
07-02-2021,23550,23600,22880,23090,22910,50,210,0.02928321678321688,0.022087483759203108
08-02-2021,23550,23600,22850,23060,22880,50,210,0.03063457330415753,0.02341717259323506
09-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
10-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
11-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
12-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
13-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
14-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
15-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
16-02-2021,23570,23620,22880,23090,22910,50,210,0.03015734265734271,0.022953659592897413
17-02-2021,23550,23570,22880,23090,22910,20,210,0.02928321678321688,0.020788220008661762
18-02-2021,23550,23570,22880,23090,22910,20,210,0.02928321678321688,0.020788220008661762
19-02-2021,23720,23800,22895,23105,22925,80,210,0.03603406857392444,0.030080069249080355
20-02-2021,23750,23800,22895,23105,22925,50,210,0.03734439834024905,0.030080069249080355
21-02-2021,23750,23800,22895,23105,22925,50,210,0.03734439834024905,0.030080069249080355
22-02-2021,23800,23850,22900,23110,22930,50,210,0.0393013100436681,0.032020770229338025
23-02-2021,23770,23820,22910,23120,22940,50,210,0.03753819292885208,0.030276816608996615
24-02-2021,23750,23800,22910,23120,22940,50,210,0.03666521169794845,0.02941176470588225
25-02-2021,23780,23830,22900,23110,22930,50,210,0.03842794759825319,0.031155344006923436
26-02-2021,23820,23870,22890,23100,22920,50,210,0.04062909567496731,0.03333333333333344
27-02-2021,23870,23950,22890,23100,22920,80,210,0.042813455657492394,0.03679653679653683
28-02-2021,23870,23950,22890,23100,22920,80,210,0.042813455657492394,0.03679653679653683
01-03-2021,23850,23930,22900,23110,22930,80,210,0.04148471615720517,0.03548247511899616
02-03-2021,23900,23950,22910,23120,22940,50,210,0.04321257092972508,0.035899653979238666
03-03-2021,23800,23880,22910,23120,22940,80,210,0.0388476647752074,0.03287197231833905
04-03-2021,23770,23820,22900,23110,22930,50,210,0.03799126637554595,0.03072263089571603
05-03-2021,23780,23830,22915,23125,22945,50,210,0.0377481998690814,0.03048648648648644
06-03-2021,23830,23880,22915,23125,22945,50,210,0.039930176740126555,0.03264864864864858
07-03-2021,23830,23880,22915,23125,22945,50,210,0.039930176740126555,0.03264864864864858
08-03-2021,23800,23880,22930,23140,22960,80,210,0.03794156127344084,0.03197925669835788
09-03-2021,23900,23950,22930,23140,22960,50,210,0.042302660270388204,0.0350043215211755
10-03-2021,23800,23850,22930,23140,22960,50,210,0.03794156127344084,0.030682800345721795
11-03-2021,23750,23830,22930,23140,22960,80,210,0.03576101177496738,0.02981849611063092
12-03-2021,23820,23870,22930,23140,22960,50,210,0.0388137810728304,0.031547104580812446
13-03-2021,23900,23950,22930,23140,22960,50,210,0.042302660270388204,0.0350043215211755
14-03-2021,23900,23950,22930,23140,22960,50,210,0.042302660270388204,0.0350043215211755
15-03-2021,23870,23950,22960,23170,22990,80,210,0.03963414634146334,0.03366422097539923
16-03-2021,23870,23920,22955,23165,22985,50,210,0.03986059681986487,0.03259227282538313
17-03-2021,23840,23890,22950,23160,22980,50,210,0.03877995642701526,0.031519861830742624
18-03-2021,23840,23900,22950,23160,22980,60,210,0.03877995642701526,0.031951640759930955
19-03-2021,23900,23930,22950,23160,22980,30,210,0.04139433551198257,0.033246977547495726
20-03-2021,23900,23930,22950,23160,22980,30,210,0.04139433551198257,0.033246977547495726
21-03-2021,23900,23930,22950,23160,22980,30,210,0.04139433551198257,0.033246977547495726
22-03-2021,23900,23970,22960,23170,22990,70,210,0.04094076655052259,0.03452740612861449
23-03-2021,23930,23980,22960,23170,22990,50,210,0.04224738675958184,0.034958998705222344
24-03-2021,23970,24020,22960,23170,22990,50,210,0.04398954703832758,0.03668536901165309
25-03-2021,23970,24020,22980,23190,23010,50,210,0.04308093994778073,0.035791289348857225
26-03-2021,23900,23970,22965,23175,22995,70,210,0.04071413019812753,0.034304207119741026
27-03-2021,23900,23970,22965,23175,22995,70,210,0.04071413019812753,0.034304207119741026
28-03-2021,23730,23830,22965,23175,22995,100,210,0.03331156107119537,0.028263214670981585
29-03-2021,23730,23830,22950,23160,22980,100,210,0.033986928104575265,0.02892918825561308
30-03-2021,23970,24020,22950,23160,22980,50,210,0.04444444444444451,0.03713298791019004
31-03-2021,23900,23950,22960,23170,22990,50,210,0.04094076655052259,0.03366422097539923
01-04-2021,23720,23820,22960,23170,22990,100,210,0.03310104529616731,0.028053517479499357
02-04-2021,23720,23820,22950,23160,22980,100,210,0.03355119825708064,0.02849740932642497
03-04-2021,23800,23850,22950,23160,22980,50,210,0.03703703703703698,0.029792746113989743
04-04-2021,23800,23850,22950,23160,22980,50,210,0.03703703703703698,0.029792746113989743
05-04-2021,23800,23850,22950,23160,22980,50,210,0.03703703703703698,0.029792746113989743
06-04-2021,23800,23850,22970,23180,23000,50,210,0.036134087940792314,0.02890422778257129
07-04-2021,23800,23850,22970,23180,23000,50,210,0.036134087940792314,0.02890422778257129
08-04-2021,23800,23850,22970,23180,23000,50,210,0.036134087940792314,0.02890422778257129
09-04-2021,23720,23800,22950,23160,22980,80,210,0.03355119825708064,0.02763385146804831
10-04-2021,23730,23830,22950,23160,22980,100,210,0.033986928104575265,0.02892918825561308
11-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
